,fromTaz,toTaz,route_idx,ratio,route_edges,start_edge,last_edge
18,taz_19,taz_1,0,1.0,158245395#1 395974916#0 395974916#1 395452529 395452530 544296215#0 544296215#1-AddedOnRampEdge 544296215#1 544296215#1-AddedOffRampEdge 417527934 114660785 114650797 619042921-AddedOnRampEdge 619042921 619042922 619042923,158245395#1,619042923
19,taz_19,taz_2,0,1.0,158245395#1 395974916#0 395974916#1 395452529 395452530 544296215#0 544296215#1-AddedOnRampEdge 544296215#1 544296215#1-AddedOffRampEdge 508137802 508137802-AddedOffRampEdge 849833093 619042912 619042916 498017747,158245395#1,498017747
20,taz_19,taz_20,0,1.0,158245395#1 395974916#0 395974916#1 395452529 158245422 394409924#0,158245395#1,394409924#0
21,taz_19,taz_3,0,0.5185,158245395#1 395974916#0 395974916#1 395452529 395452530 544296215#0 544296215#1-AddedOnRampEdge 544296215#1 544296215#1-AddedOffRampEdge 417527934 371277198 31559304 544299026-AddedOnRampEdge 544299026 508115788-AddedOnRampEdge 508115788 508115768,158245395#1,508115768
22,taz_19,taz_3,1,0.4815,158245395#1 395974916#0 395974916#1 395452529 395452530 544296215#0 544296215#1-AddedOnRampEdge 544296215#1 544296215#1-AddedOffRampEdge 417527934 371277198 31559304 544299026-AddedOnRampEdge 544299026 508115788-AddedOnRampEdge 508115788 23955360,158245395#1,23955360
23,taz_19,taz_31,0,0.6154,158245395#1 395974916#0 395974916#1 395452529 395452530 544296215#0 544296215#1-AddedOnRampEdge 544296215#1 544296215#1-AddedOffRampEdge 508137802 508137802-AddedOffRampEdge 417527974 395431855 395431857#0 395431857#1 93264664#0,158245395#1,93264664#0
24,taz_19,taz_31,1,0.3846,158245395#1 395974916#0 395974916#1 395452529 395452530 544296215#0 544296215#1-AddedOnRampEdge 544296215#1 544296215#1-AddedOffRampEdge 508137802 508137802-AddedOffRampEdge 417527974 158966994#0,158245395#1,158966994#0
25,taz_2,taz_0,0,1.0,619042896 619042896-AddedOffRampEdge 498017755 498017755-AddedOffRampEdge 851552197 619042919-AddedOnRampEdge 619042919 619042924 619042925 619042925-AddedOffRampEdge 851554086 544296218#0 544296218#1-AddedOnRampEdge 544296218#1 544296218#2-AddedOnRampEdge 544296218#2 157607513#0,619042896,157607513#0
26,taz_2,taz_1,0,1.0,619042896 619042896-AddedOffRampEdge 417509529 508115819 114650797 619042921-AddedOnRampEdge 619042921 619042922 619042923,619042896,619042923
27,taz_2,taz_19,0,1.0,619042896 619042896-AddedOffRampEdge 498017755 498017755-AddedOffRampEdge 851552197 619042919-AddedOnRampEdge 619042919 619042924 619042925 619042925-AddedOffRampEdge 851554086 158245406 508115828 5001947 395974918#0,619042896,395974918#0
28,taz_2,taz_20,0,1.0,619042896 619042896-AddedOffRampEdge 498017755 498017755-AddedOffRampEdge 851552197 619042919-AddedOnRampEdge 619042919 619042924 619042925 619042925-AddedOffRampEdge 8926408 394411058,619042896,394411058
29,taz_2,taz_3,0,0.6111,619042896 619042896-AddedOffRampEdge 417509529 4336093 31559304 544299026-AddedOnRampEdge 544299026 508115788-AddedOnRampEdge 508115788 23955360,619042896,23955360
30,taz_2,taz_3,1,0.3889,619042896 619042896-AddedOffRampEdge 417509529 4336093 31559304 544299026-AddedOnRampEdge 544299026 508115788-AddedOnRampEdge 508115788 508115768,619042896,508115768
31,taz_2,taz_31,0,0.7407,619042896 619042896-AddedOffRampEdge 498017755 498017755-AddedOffRampEdge 417510077 158245409#0,619042896,158245409#0
32,taz_2,taz_31,1,0.2593,619042896 619042896-AddedOffRampEdge 498017755 498017755-AddedOffRampEdge 417510077 393883700 508115825 158245404,619042896,158245404
33,taz_20,taz_0,0,1.0,184753017 186398860 508115828 158245407 544296218#1-AddedOnRampEdge 544296218#1 544296218#2-AddedOnRampEdge 544296218#2 157607513#0,184753017,157607513#0
34,taz_20,taz_1,0,1.0,300579880#1 394409220 544296215#1-AddedOnRampEdge 544296215#1 544296215#1-AddedOffRampEdge 417527934 114660785 114650797 619042921-AddedOnRampEdge 619042921 619042922 619042923,300579880#1,619042923
35,taz_20,taz_19,0,1.0,184753017 186398860 508115828 5001947 395974918#0,184753017,395974918#0
36,taz_20,taz_2,0,1.0,300579880#1 394409220 544296215#1-AddedOnRampEdge 544296215#1 544296215#1-AddedOffRampEdge 508137802 508137802-AddedOffRampEdge 849833093 619042912 619042916 498017747,300579880#1,498017747
37,taz_20,taz_3,0,0.6667,300579880#1 394409220 544296215#1-AddedOnRampEdge 544296215#1 544296215#1-AddedOffRampEdge 417527934 371277198 31559304 544299026-AddedOnRampEdge 544299026 508115788-AddedOnRampEdge 508115788 23955360,300579880#1,23955360
38,taz_20,taz_3,1,0.3333,300579880#1 394409220 544296215#1-AddedOnRampEdge 544296215#1 544296215#1-AddedOffRampEdge 417527934 371277198 31559304 544299026-AddedOnRampEdge 544299026 508115788-AddedOnRampEdge 508115788 508115768,300579880#1,508115768
39,taz_20,taz_31,0,0.75,300579880#1 394409220 544296215#1-AddedOnRampEdge 544296215#1 544296215#1-AddedOffRampEdge 508137802 508137802-AddedOffRampEdge 417527974 158966994#0,300579880#1,158966994#0
40,taz_20,taz_31,1,0.25,300579880#1 394409220 544296215#1-AddedOnRampEdge 544296215#1 544296215#1-AddedOffRampEdge 508137802 508137802-AddedOffRampEdge 417527974 395431855 395431857#0 395431857#1 93264664#0,300579880#1,93264664#0
41,taz_21,taz_1,0,0.5588,366050717#0 366050717#1 360972515 52286755#0 52286755#1 52286756#1-AddedOnRampEdge 52286756#1 619042921-AddedOnRampEdge 619042921 619042922 619042923,366050717#0,619042923
42,taz_21,taz_1,1,0.4412,393882679#1 360972515 52286755#0 52286755#1 52286756#1-AddedOnRampEdge 52286756#1 619042921-AddedOnRampEdge 619042921 619042922 619042923,393882679#1,619042923
43,taz_21,taz_3,0,0.619,360972546#1 508115796 508115788-AddedOnRampEdge 508115788 508115768,360972546#1,508115768
44,taz_21,taz_3,1,0.381,360972546#1 508115796 508115788-AddedOnRampEdge 508115788 23955360,360972546#1,23955360
45,taz_3,taz_0,0,0.4828,28413901#0 395438594 8923845#0 8923845#1 395438595 508115743 508115743-AddedOffRampEdge 508115744 508115744-AddedOffRampEdge 8925761 8926742 508115781 508115802 619042924 619042925 619042925-AddedOffRampEdge 851554086 544296218#0 544296218#1-AddedOnRampEdge 544296218#1 544296218#2-AddedOnRampEdge 544296218#2 157607513#0,28413901#0,157607513#0
46,taz_3,taz_0,1,0.3276,28413844 508115743 508115743-AddedOffRampEdge 508115744 508115744-AddedOffRampEdge 8925761 8926742 508115781 508115802 619042924 619042925 619042925-AddedOffRampEdge 851554086 544296218#0 544296218#1-AddedOnRampEdge 544296218#1 544296218#2-AddedOnRampEdge 544296218#2 157607513#0,28413844,157607513#0
47,taz_3,taz_0,2,0.1897,393878732#0 395438594 8923845#0 8923845#1 395438595 508115743 508115743-AddedOffRampEdge 508115744 508115744-AddedOffRampEdge 8925761 8926742 508115781 508115802 619042924 619042925 619042925-AddedOffRampEdge 851554086 544296218#0 544296218#1-AddedOnRampEdge 544296218#1 544296218#2-AddedOnRampEdge 544296218#2 157607513#0,393878732#0,157607513#0
48,taz_3,taz_1,0,0.5306,28413901#0 395438594 8923845#0 8923845#1 395438595 508115743 508115743-AddedOffRampEdge 508115744 508115744-AddedOffRampEdge 508115745 52286756#1-AddedOnRampEdge 52286756#1 619042921-AddedOnRampEdge 619042921 619042922 619042923,28413901#0,619042923
49,taz_3,taz_1,1,0.2857,393878732#0 395438594 8923845#0 8923845#1 395438595 508115743 508115743-AddedOffRampEdge 508115744 508115744-AddedOffRampEdge 508115745 52286756#1-AddedOnRampEdge 52286756#1 619042921-AddedOnRampEdge 619042921 619042922 619042923,393878732#0,619042923
50,taz_3,taz_1,2,0.1837,28413844 508115743 508115743-AddedOffRampEdge 508115744 508115744-AddedOffRampEdge 508115745 52286756#1-AddedOnRampEdge 52286756#1 619042921-AddedOnRampEdge 619042921 619042922 619042923,28413844,619042923
51,taz_3,taz_19,0,0.3889,393878732#0 395438594 8923845#0 8923845#1 395438595 508115743 508115743-AddedOffRampEdge 508115744 508115744-AddedOffRampEdge 8925761 8926742 508115781 508115802 619042924 619042925 619042925-AddedOffRampEdge 851554086 158245406 508115828 5001947 395974918#0,393878732#0,395974918#0
52,taz_3,taz_19,1,0.3889,28413844 508115743 508115743-AddedOffRampEdge 508115744 508115744-AddedOffRampEdge 8925761 8926742 508115781 508115802 619042924 619042925 619042925-AddedOffRampEdge 851554086 158245406 508115828 5001947 395974918#0,28413844,395974918#0
53,taz_3,taz_19,2,0.2222,28413901#0 395438594 8923845#0 8923845#1 395438595 508115743 508115743-AddedOffRampEdge 508115744 508115744-AddedOffRampEdge 8925761 8926742 508115781 508115802 619042924 619042925 619042925-AddedOffRampEdge 851554086 158245406 508115828 5001947 395974918#0,28413901#0,395974918#0
54,taz_3,taz_2,0,0.4,393878732#0 395438594 8923845#0 8923845#1 395438595 508115743 508115743-AddedOffRampEdge 508115744 508115744-AddedOffRampEdge 8925761 508115775 508115805 416161449 31559309 498017747,393878732#0,498017747
55,taz_3,taz_2,1,0.3,28413844 508115743 508115743-AddedOffRampEdge 508115744 508115744-AddedOffRampEdge 8925761 508115775 508115805 416161449 31559309 498017747,28413844,498017747
56,taz_3,taz_2,2,0.3,28413901#0 395438594 8923845#0 8923845#1 395438595 508115743 508115743-AddedOffRampEdge 508115744 508115744-AddedOffRampEdge 8925761 508115775 508115805 416161449 31559309 498017747,28413901#0,498017747
57,taz_3,taz_20,0,0.4615,393878732#0 395438594 8923845#0 8923845#1 395438595 508115743 508115743-AddedOffRampEdge 508115744 508115744-AddedOffRampEdge 8925761 8926742 508115781 508115802 619042924 619042925 619042925-AddedOffRampEdge 8926408 394411058,393878732#0,394411058
58,taz_3,taz_20,1,0.4231,28413844 508115743 508115743-AddedOffRampEdge 508115744 508115744-AddedOffRampEdge 8925761 8926742 508115781 508115802 619042924 619042925 619042925-AddedOffRampEdge 8926408 394411058,28413844,394411058
59,taz_3,taz_20,2,0.1154,28413901#0 395438594 8923845#0 8923845#1 395438595 508115743 508115743-AddedOffRampEdge 508115744 508115744-AddedOffRampEdge 8925761 8926742 508115781 508115802 619042924 619042925 619042925-AddedOffRampEdge 8926408 394411058,28413901#0,394411058
60,taz_3,taz_21,0,0.3939,28413844 508115743 508115743-AddedOffRampEdge 8926272 393882678#0,28413844,393882678#0
61,taz_3,taz_21,1,0.3333,28413901#0 395438594 8923845#0 8923845#1 395438595 508115743 508115743-AddedOffRampEdge 8926272 393882678#0,28413901#0,393882678#0
62,taz_3,taz_21,2,0.2727,393878732#0 395438594 8923845#0 8923845#1 395438595 508115743 508115743-AddedOffRampEdge 8926272 393882678#0,393878732#0,393882678#0
63,taz_31,taz_0,0,0.5625,157805320#0 508115825 157806309 619042909 619042907 393884250#0 393884250#1 619042919-AddedOnRampEdge 619042919 619042924 619042925 619042925-AddedOffRampEdge 851554086 544296218#0 544296218#1-AddedOnRampEdge 544296218#1 544296218#2-AddedOnRampEdge 544296218#2 157607513#0,157805320#0,157607513#0
64,taz_31,taz_0,1,0.4375,157805319#0 619042909 619042907 393884250#0 393884250#1 619042919-AddedOnRampEdge 619042919 619042924 619042925 619042925-AddedOffRampEdge 851554086 544296218#0 544296218#1-AddedOnRampEdge 544296218#1 544296218#2-AddedOnRampEdge 544296218#2 157607513#0,157805319#0,157607513#0
65,taz_31,taz_19,0,0.5,157805319#0 619042909 619042907 393884250#0 393884250#1 619042919-AddedOnRampEdge 619042919 619042924 619042925 619042925-AddedOffRampEdge 851554086 158245406 508115828 5001947 395974918#0,157805319#0,395974918#0
66,taz_31,taz_19,1,0.5,157805320#0 508115825 157806309 619042909 619042907 393884250#0 393884250#1 619042919-AddedOnRampEdge 619042919 619042924 619042925 619042925-AddedOffRampEdge 851554086 158245406 508115828 5001947 395974918#0,157805320#0,395974918#0
67,taz_31,taz_2,0,0.5294,158966998#0 393892680 619042912 619042916 498017747,158966998#0,498017747
68,taz_31,taz_2,1,0.4706,157805321#0 395431857#1 515842988 93264686 393892680 619042912 619042916 498017747,157805321#0,498017747
69,taz_31,taz_20,0,0.5,157805320#0 508115825 157806309 619042909 619042907 393884250#0 393884250#1 619042919-AddedOnRampEdge 619042919 619042924 619042925 619042925-AddedOffRampEdge 8926408 394411058,157805320#0,394411058
70,taz_31,taz_20,1,0.5,157805319#0 619042909 619042907 393884250#0 393884250#1 619042919-AddedOnRampEdge 619042919 619042924 619042925 619042925-AddedOffRampEdge 8926408 394411058,157805319#0,394411058
71,taz_85,taz_1,0,0.5692,157805322#0 31559317#1 8923925#3 619042922 619042923,157805322#0,619042923
72,taz_85,taz_1,1,0.4308,8923925#0 8923925#2 8923925#3 619042922 619042923,8923925#0,619042923
